Item,Price,Link
470ohm Resistors,$2,https://www.aliexpress.us/item/3256802900888178.html
10kohm Resistors,$2,https://www.aliexpress.us/item/3256802900888178.html
12v Zener Diodes,$2,https://www.aliexpress.us/item/3256805254594247.html
250v 0.68uF Film Capacitor,$4,https://www.aliexpress.us/item/3256801112042944.html
IRFP250s,$10,https://www.amazon.com/ALLECIN-IRFP250N-Transistors-IRFP250NPBF-Transistor/dp/B0CBKD6J2G/
Toroidial Ferrite Cores,$7,https://www.amazon.com/10-FT50-43-Ferrite-Toroid-Core/dp/B0178IA61Y/
Magnet Wire,$12,https://www.amazon.com/BNTECHGO-AWG-Magnet-Wire-Transformers/dp/B07GBM6Y4Z
Heatsinks,$4,https://www.aliexpress.us/item/3256805673141783.html
Flyback Core,$20,https://www.amazon.com/5pairs-UY1658-Transformer-ferrite-Material/dp/B0146OG8VK/
34AWG Enameled Wire,$14,https://www.amazon.com/CMS-MAGNETICS-Enameled-Transformer-Inductor/dp/B0CHN8T5M6
Silicone Wire,$7,https://www.amazon.com/Voltage-Automotive-Primary-Security-Electrical/dp/B0CZ73SQP8
Toggle Switches,$3,https://www.aliexpress.us/item/2255799990804311.html
