Item,Price,Link
Glass Dome,$15,https://www.amazon.com/ZEERSHEE-Display-Cloche-Wooden-Decoration/dp/B0DMVLJSPG/
"6""x6""x1/2"" Plastic Sheet",$10,https://www.amazon.com/Bocolon-Density-Polyethylene-Plastic-Industry/dp/B0CL441SL8
Vacuum Adapters,$12,https://www.amazon.com/Adapter-Coupler-Refrigerant-Connector-Conditioner/dp/B0CC1TSPS1
Pressure Gauge,$10,https://www.amazon.com/Silicone-Pressure-Stainless-Conditioning-Manifolds/dp/B0BCYMT1RT/
Vacuum Pump,$60,https://www.amazon.com/VIVOHOME-Single-Rotary-Vacuum-Bottle/dp/B07RGQ786R
Vinyl Hose,$6,https://www.amazon.com/Ez-Flo-98617-Clear-Vinyl-Tubing/dp/B07PY4KM8C/
JB Weld,$6,https://www.amazon.com/J-B-Weld-8276-KwikWeld-Reinforced/dp/B0006O1ICY/
470ohm Resistors,$2,https://www.aliexpress.us/item/3256802900888178.html
10kohm Resistors,$2,https://www.aliexpress.us/item/3256802900888178.html
12v Zener Diodes,$2,https://www.aliexpress.us/item/3256805254594247.html
250v 0.68uF Film Capacitor,$4,https://www.aliexpress.us/item/3256801112042944.html
IRFP250s,$10,https://www.amazon.com/ALLECIN-IRFP250N-Transistors-IRFP250NPBF-Transistor/dp/B0CBKD6J2G/
Toroidial Ferrite Cores,$7,https://www.amazon.com/10-FT50-43-Ferrite-Toroid-Core/dp/B0178IA61Y/
Magnet Wire,$12,https://www.amazon.com/BNTECHGO-AWG-Magnet-Wire-Transformers/dp/B07GBM6Y4Z
Heatsinks,$4,https://www.aliexpress.us/item/3256805673141783.html
Flyback Core,$20,https://www.amazon.com/5pairs-UY1658-Transformer-ferrite-Material/dp/B0146OG8VK/
34AWG Enameled Wire,$14,https://www.amazon.com/CMS-MAGNETICS-Enameled-Transformer-Inductor/dp/B0CHN8T5M6
Silicone Wire,$7,https://www.amazon.com/Voltage-Automotive-Primary-Security-Electrical/dp/B0CZ73SQP8
20kV 5mA Diodes,$5,https://www.aliexpress.us/item/3256808432161042.html
20kV 1nF Capacitors,$8,https://www.aliexpress.us/item/3256806874066306.html
Barrel Jack Terminal ,$2,https://www.aliexpress.us/item/3256807671002315.html
12V 15A Power Supply,$22,https://www.amazon.com/Converter-Cigarette-Transformer-Inflator-Refrigerator/dp/B0DG2PFRQ5/
Barrel Jack Terminal (Reverse),$2,https://www.aliexpress.us/item/3256807671002315.html
Rubber Feet,$7,https://www.amazon.com/Adhesive-Electronics-Speakers-Computers-Keyboard/dp/B085DMB1XV/ref=sr_1_9?crid=3O5T4Z839OSPR&dib=eyJ2IjoiMSJ9.kmW6oSxM8hBoD5dBFjar6StSTm76ZqnX8PFSxugsOSh4NT7EnO8JuyO8ffdnRoC3xs5QVAPrLiBoFSYuAFW5eQNpHfnJvl9kFo_plIwcut2MKsdITPROU723U0umcXPqF4DaEN-nXGxC784m8Zzu7cdbZRfrCV9AJr_LDyWUugbfvZH8AaOz5HK_4Vl6C0WMp0OEOW4k7FklQm2caNmMawLb1cBUqfmxrFH-_noeaNmuKrc207f2SQEJBjhZCuaJJEAYDMeH4KnpRsszWK5O7QLgyJU_Q1FBMjZMnVPic2I.Wlx9wx1vc-5kThxAHnvfs3AT8G31tHvlOH_H8Y0vwoM&dib_tag=se&keywords=rubber%2Bfeet&qid=1760660130&sprefix=rubber%2Bfee%2Caps%2C151&sr=8-9&th=1
Geiger Counter,$33,https://www.aliexpress.us/item/3256807290726307.htm
Toggle Switches,$3,https://www.aliexpress.us/item/2255799990804311.html
Total,$275,
